taxon_id,taxon_name,mean_case,mean_ctrl,p_value,effect_size,direction,q_value
STR_Corynebacterium_matruchotii,Corynebacterium_matruchotii,0.057214945239409024,0.11026455402048845,0.07023026840828911,-0.9464930102316577,health_enriched,0.32617527036206495
STR_Capnocytophaga_gingivalis,Capnocytophaga_gingivalis,0.019240758467196077,0.029866808371923938,0.033246449843097554,-0.634350729783537,health_enriched,0.2055235081209667
STR_Capnocytophaga_sputigena,Capnocytophaga_sputigena,0.009333753565931757,0.028958251717499228,0.14187902513455913,-1.6333404834393435,health_enriched,0.44873366089069866
STR_Capnocytophaga_granulosa,Capnocytophaga_granulosa,0.007231663681759015,0.014992053625724814,0.22433339786009715,-1.0516952728581397,health_enriched,0.5593000334376591
STR_Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1,Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1,0.02767675832498222,0.02139829144129397,0.3995596999357931,0.3711640731673514,disease_enriched,0.6708656690279983
STR_Fusobacterium_nucleatum,Fusobacterium_nucleatum,0.05430920870854103,0.05007135628253796,0.1723052323860401,0.11720906068448286,disease_enriched,0.5094241653152489
STR_Lautropia_mirabilis,Lautropia_mirabilis,0.005225952504799613,0.02427811130753692,0.002932248093771486,-2.215673660062248,health_enriched,0.08486355915155792
STR_Aggregatibacter_sp_oral_taxon_458,Aggregatibacter_sp_oral_taxon_458,0.0017472881142134207,0.0029740284782725874,0.6986209437925186,-0.7669605210466997,health_enriched,0.8637495305071139
STR_Tannerella_sp_oral_taxon_HOT_286,Tannerella_sp_oral_taxon_HOT_286,0.01016144195297943,0.008932613224364767,0.6921546837731662,0.18593141131449217,disease_enriched,0.8637495305071139
STR_Cardiobacterium_hominis,Cardiobacterium_hominis,0.00788658051070295,0.008895772611090376,0.47702388188002925,-0.17369925347407955,health_enriched,0.7143572162483007
STR_Pseudopropionibacterium_propionicum,Pseudopropionibacterium_propionicum,0.001387602008257921,0.013104989434655847,0.18539460442525568,-3.2385212056629578,health_enriched,0.5364609830177611
STR_Campylobacter_gracilis,Campylobacter_gracilis,0.004217230046083404,0.008423685726443742,0.22618751352258273,-0.9979850928303229,health_enriched,0.5593000334376591
STR_Prevotella_conceptionensis,Prevotella_conceptionensis,0.005220478746032577,0.0056351055304012425,0.45231838277549574,-0.11024018259086729,health_enriched,0.7103826975703079
STR_Capnocytophaga_leadbetteri,Capnocytophaga_leadbetteri,0.014816939068531673,0.02212383161958509,0.5829036487079851,-0.5783216691886356,health_enriched,0.7627627995336207
STR_Actinomyces_naeslundii,Actinomyces_naeslundii,0.0032536197070717264,0.009369492546488879,0.007153519626129475,-1.525635904588048,health_enriched,0.09728786691536086
STR_Ottowia_sp_Marseille_P4747,Ottowia_sp_Marseille_P4747,0.001393947731332774,0.005922039043062273,0.2431158337099977,-2.0861265307084187,health_enriched,0.5662538007226817
STR_Selenomonas_noxia,Selenomonas_noxia,0.003922742806075523,0.006840900825213635,0.5752644956879174,-0.8021667133670966,health_enriched,0.7627627995336207
STR_Selenomonas_artemidis,Selenomonas_artemidis,0.001336861286197623,0.002768151938083677,0.5882829229308794,-1.0495156733739666,health_enriched,0.7627627995336207
STR_Neisseria_sp_oral_taxon_014,Neisseria_sp_oral_taxon_014,0.004835012164633004,0.0010832087684372312,0.7781895270411521,2.1571752938399023,disease_enriched,0.9232877889628861
STR_Actinomyces_massiliensis,Actinomyces_massiliensis,0.0017523358652290738,0.03020550568996108,0.03568273686996658,-4.106685014503884,health_enriched,0.21099357453545453
STR_Treponema_sp_OMZ_804,Treponema_sp_OMZ_804,0.012497241205303537,0.0021835220317343736,0.12295706051730557,2.5163355271586605,disease_enriched,0.43399809554367014
STR_Porphyromonas_catoniae,Porphyromonas_catoniae,0.0016873497402306178,0.008098952956945219,0.27152022621124716,-2.2622997410420425,health_enriched,0.5662538007226817
STR_Actinomyces_dentalis,Actinomyces_dentalis,0.014076945693402869,0.007019865466703295,0.49656907764392205,1.0037160372953908,disease_enriched,0.7239807147966679
STR_Neisseria_subflava,Neisseria_subflava,0.018014121585252806,0.004300689440727227,0.5299835244569104,2.0662331099763485,disease_enriched,0.7478573188414616
STR_Actinobaculum_sp_oral_taxon_183,Actinobaculum_sp_oral_taxon_183,0.02367465295884239,0.018206193455958263,0.0191099284604457,0.378895659290771,disease_enriched,0.16243439191378845
STR_GGB1022_SGB1315,GGB1022_SGB1315,0.009502265109523506,0.0036047272726086642,0.8153264966404693,1.3981329970184373,disease_enriched,0.9360862120931482
STR_Leptotrichia_hongkongensis,Leptotrichia_hongkongensis,9.356247918531506e-4,8.753800660863403e-4,0.39637419380781663,0.0959145562139354,disease_enriched,0.6708656690279983
STR_Porphyromonas_pasteri,Porphyromonas_pasteri,0.008977937852337976,0.002602366481335267,0.9773081144479402,1.7861663767557232,disease_enriched,0.999352658382856
STR_Prevotella_loescheii,Prevotella_loescheii,0.002355990127850104,0.009320820904756041,0.4596593925454934,-1.9836660794660566,health_enriched,0.7103826975703079
STR_Treponema_socranskii,Treponema_socranskii,0.0091451714800352309,0.005555363425338329,0.23384122666634644,0.719027003414257,disease_enriched,0.5662538007226817
STR_Capnocytophaga_SGB2480,Capnocytophaga_SGB2480,0.0026584458406991355,0.014879011941367619,0.26674684836311857,-2.484178122169289,health_enriched,0.5662538007226817
STR_GGB1843_SGB2524,GGB1843_SGB2524,2.7865795092749573e-4,0.002517531482081008,0.06373131993618288,-3.1708475119084363,health_enriched,0.32101701893781004
STR_TM7_phylum_sp_oral_taxon_348,TM7_phylum_sp_oral_taxon_348,0.016135315745675994,0.02040976386306606,0.3129639566136588,-0.3390189564276919,health_enriched,0.5751770013440216
STR_Eikenella_corrodens,Eikenella_corrodens,0.0019965723673121406,0.002426083368620961,0.4578343754226731,-0.2809758953868253,health_enriched,0.7103826975703079
STR_Actinomyces_gerencseriae,Actinomyces_gerencseriae,0.010947835644491827,0.0036365891691410674,0.2926049934966789,1.5897229356567246,disease_enriched,0.5662538007226817
STR_Alloprevotella_tannerae,Alloprevotella_tannerae,0.006297050921999299,0.003085518549178757,0.2625241751586325,1.0289249606157513,disease_enriched,0.5662538007226817
STR_Porphyromonas_sp_oral_taxon_278,Porphyromonas_sp_oral_taxon_278,0.002649557015326967,0.005725725548817482,0.5973963081882818,-1.11141489017952,health_enriched,0.766470735034022
STR_Prevotella_oris,Prevotella_oris,0.008582706418135785,0.0030829708670529286,0.11997595193185155,1.4768115967594044,disease_enriched,0.43399809554367014
STR_Actinomyces_johnsonii,Actinomyces_johnsonii,0.0013019369146967355,8.093788309470364e-4,0.9070343482722012,0.6850988404527428,disease_enriched,0.986853370920155
STR_Arachnia_SGB15899,Arachnia_SGB15899,0.00476065924401454,0.0019541657286278667,0.07370901209278283,1.2841734794887063,disease_enriched,0.32617527036206495
STR_Corynebacterium_durum,Corynebacterium_durum,0.001979373249963945,0.01627288558331971,0.0011811498409285163,-3.038714480353255,health_enriched,0.053545459455426075
STR_Actinomyces_oris,Actinomyces_oris,0.0060741655054157295,0.02893057894710931,0.041106100655515045,-2.251649443174646,health_enriched,0.23293457038125193
STR_Campylobacter_SGB19337,Campylobacter_SGB19337,2.700406086145258e-4,8.38610422777994e-4,0.14978611530480024,-1.6312110567869653,health_enriched,0.46297526548756435
STR_Campylobacter_SGB19317,Campylobacter_SGB19317,0.00021661920103335205,0.001541254302757832,0.11945447950844422,-2.825162911713042,health_enriched,0.43399809554367014
STR_Streptococcus_oralis,Streptococcus_oralis,0.0015472196562927817,0.0058280863731657966,0.07691679864779,-1.9126596082920049,health_enriched,0.32617527036206495
STR_Streptococcus_cristatus,Streptococcus_cristatus,0.0013523022397660695,0.0010704184112804256,0.9739327011206111,0.3369620869171582,disease_enriched,0.999352658382856
STR_Prevotella_oulorum,Prevotella_oulorum,0.0013784138026708167,0.002579635175651531,0.3021177331111231,-0.9036708942381998,health_enriched,0.5706668292098992
STR_Rothia_dentocariosa,Rothia_dentocariosa,0.018540372379188846,0.0571113273427963,0.08154381759051624,-1.6230541439420807,health_enriched,0.32617527036206495
STR_Leptotrichia_buccalis,Leptotrichia_buccalis,0.0010898757426400605,5.444894305753208e-4,1,0.9998636310928402,disease_enriched,1
STR_Selenomonas_SGB5891,Selenomonas_SGB5891,8.728479516750598e-4,4.128175300351992e-4,0.8973094558786695,1.0783875130567133,disease_enriched,0.9841458548346697
